NomVideo	Duree	Interaction	InterventionCourte	InterventionLongue	SPonctuel	SLocalise	SPresent	SRegulier	SImportant	DistributionLocuteur	TransitionLocuteur	Parole	Musique	Parole+Musique	Parole+NonMusique	NonParole+Musique	NonParole+NonMusique	VisageNombreMin	VisageNombreMax	NombreTransitionPlan	IntraVariationMoyen
10zenmonkeys-DearInternetImSorry675.xml	179	0.0	0.5	84.59	0.0	0.0	0.5	0.0	84.59	100.0	0.312100121719	25.41	55.31	13.33	11.29	41.98	31.84	0	1	3.43310133891	7.36114001912
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml	717	11.78	4.24	1.89	0.0	0.37	0.0	0.0	78.05	100.0	0.894786700357	36.53	85.9	31.79	4.54	54.11	7.09	0	1	0.447393350179	6.54384331683
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml	1097	11.18	2.03	11.71	0.0	0.0	0.0	0.0	84.23	100.0	0.415486339224	61.57	77.31	47.84	13.59	29.47	7.52	0	1	0.0415486339224	6.89362090642
1801Media-iPhone3GWhatDoPeopleKnow259.xml	117	75.58	0.0	12.14	0.0	0.0	0.0	0.0	87.21	100.0	1.46102710205	50.32	45.38	16.69	33.0	28.69	20.42	0	2	24.8374607349	8.1114146405
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml	168	0.0	0.0	0.0	0.0	16.24	0.0	0.0	44.77	100.0	5.66893424036	45.59	70.65	28.29	17.3	42.36	10.44	0	3	2.12585034014	4.36972445801
210tvmusic-VerityBandRawAndUncut354.xml	97	0.0	4.04	0.0	0.0	4.04	0.0	0.0	0.0	100.0	0.0	3.39	98.14	3.39	0.0	94.75	0.0	0	3	4.25124880434	7.72517653561
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml	92	0.0	0.0	0.0	0.0	0.0	5.71	0.0	92.24	100.0	1.18147448015	44.48	95.76	42.34	1.5	53.42	0.89	0	0	2.3629489603	5.40931661355
8bitjoystick-NicoleS_SeattlePI_eventmp4126.xml	293	0.0	0.0	0.0	0.0	0.0	3.23	11.57	82.15	100.0	1.16483593286	36.81	98.4	36.27	0.33	62.13	0.73	0	0	0.116483593286	0.0
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml	465	3.14	0.28	0.0	0.0	0.0	0.38	1.7	82.25	100.0	5.82726326742	66.51	69.42	40.74	25.5	28.68	4.7	0	2	0.323736848191	4.90994173381
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml	2622	2.63	1.62	0.0	0.0	1.97	0.0	0.0	75.44	100.0	1.02547184796	60.39	54.01	37.85	22.49	16.16	2.07	0	1	0.0101819899797	7.49609433864
Aabbey1-DonnielHartmanGenesis1822970.xml	2997	4.86	0.0	0.0	0.0	0.0	8.74	70.09	17.42	100.0	0.158093807299	94.39	23.45	20.59	73.8	2.87	2.71	1	1	0.00445334668445	2.87947839216
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml	862	0.0	0.58	1.49	0.0	0.0	1.09	9.78	75.88	100.0	2.61088172436	90.59	48.56	42.14	48.26	6.42	0.93	0	1	0.0269163064368	5.49957250385
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml	1718	0.79	1.92	0.0	0.0	0.0	13.95	16.23	61.13	100.0	0.474331226851	93.42	43.23	38.27	55.06	4.96	1.4	0	2	0.0575973632605	6.78808256915
Aabbey1-InvitationToSummer2009RabbinicalStudySeminarAtHartmanIn262.xml	100	82.74	0.0	10.16	0.0	0.0	0.0	0.0	91.09	100.0	2.0	76.98	57.2	40.97	34.32	16.23	5.28	0	0	1.0	0.0
